Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
43,male,0,own,moderate,18,1581177,15,business,Bad
61,male,2,own,moderate,4,266991,29,furniture/equipment,Bad
51,male,1,own,moderate,23,4391256,26,furniture/equipment,Bad
27,male,0,own,rich,8,4092942,16,domestic appliances,Bad
53,female,3,own,little,15,3332077,32,car,Bad
31,female,0,own,little,3,6555266,21,vacation/others,Bad
48,female,1,free,little,15,4209844,31,furniture/equipment,Bad
65,male,3,rent,little,13,8591485,35,vacation/others,Bad
32,male,0,own,little,9,8098883,54,domestic appliances,Bad
25,female,0,rent,little,2,5643269,21,furniture/equipment,Bad
31,male,0,rent,moderate,24,7062544,12,radio/TV,Bad
40,male,0,rent,quite rich,8,5218805,21,furniture/equipment,Bad
57,male,0,own,little,29,1645329,40,business,Bad
38,male,1,own,little,20,3172753,21,education,Bad
33,female,0,own,quite rich,17,344169,45,education,Bad
62,male,1,own,little,13,4726043,17,furniture/equipment,Bad
35,male,3,own,little,1,7727339,40,repairs,Bad
64,male,2,own,little,2,1450339,54,radio/TV,Bad
41,male,1,own,little,15,3834942,26,car,Bad
43,male,0,rent,little,12,8529241,55,furniture/equipment,Bad
42,female,1,own,rich,14,6822137,48,vacation/others,Bad
62,male,1,own,little,25,9540501,41,car,Bad
58,male,1,free,little,29,3950404,53,radio/TV,Bad
46,male,0,rent,little,2,7892590,22,furniture/equipment,Bad
32,female,2,rent,little,18,2044773,37,repairs,Bad
62,male,1,free,moderate,22,1026109,46,domestic appliances,Bad
18,female,0,own,moderate,7,5431694,11,repairs,Bad
42,male,0,free,moderate,29,5555249,29,business,Bad
24,male,1,own,little,23,808669,32,repairs,Bad
26,male,2,own,quite rich,29,6418499,25,vacation/others,Good
41,male,2,own,moderate,25,4327939,30,domestic appliances,Good
18,male,2,own,moderate,6,2407539,7,business,Bad
61,male,0,own,little,14,2696882,14,domestic appliances,Bad
25,male,1,own,little,8,9495499,33,education,Bad
41,female,1,rent,little,27,2833268,58,domestic appliances,Bad
28,male,0,own,moderate,22,7533976,43,furniture/equipment,Bad
68,male,0,own,little,2,9216075,8,car,Bad
34,female,2,rent,little,17,3325070,25,education,Bad
25,male,0,own,quite rich,5,3098851,11,education,Bad
52,male,1,own,quite rich,14,3761306,44,car,Bad
52,female,0,own,quite rich,25,767939,38,vacation/others,Bad
50,male,0,own,little,24,3774153,6,education,Bad
22,male,0,own,moderate,29,4848584,42,domestic appliances,Bad
59,male,3,rent,little,20,7403398,11,repairs,Bad
56,male,2,own,little,21,2312292,50,radio/TV,Bad
58,male,3,own,little,29,4470297,39,vacation/others,Bad
45,male,1,rent,little,21,3718313,52,domestic appliances,Bad
24,female,0,rent,little,22,1039086,20,business,Bad
26,male,1,own,moderate,3,8774708,50,business,Bad
25,male,1,own,little,5,7430395,31,repairs,Bad
29,male,2,own,moderate,16,2148880,19,vacation/others,Good
51,male,0,own,little,18,2569606,59,vacation/others,Bad
50,male,1,own,little,26,3139316,12,repairs,Bad
65,male,0,own,little,17,1145533,51,vacation/others,Bad
40,male,0,free,little,11,1385844,36,education,Bad
41,male,2,own,little,17,4773584,29,furniture/equipment,Bad
54,female,1,own,little,16,621320,36,furniture/equipment,Bad
52,male,0,own,little,26,4601572,34,vacation/others,Bad
61,female,0,own,little,23,4943293,47,education,Bad
57,male,1,own,little,2,5657821,37,education,Bad
39,female,2,own,quite rich,4,1109933,22,car,Bad
44,male,2,rent,little,21,1938524,19,car,Bad
52,male,3,own,moderate,7,9688007,45,radio/TV,Good
18,male,2,own,moderate,2,222026,41,radio/TV,Good
52,male,0,own,quite rich,6,5222194,53,radio/TV,Bad
54,male,1,own,moderate,17,9770115,29,radio/TV,Bad
64,male,1,own,little,7,835053,50,repairs,Bad
31,male,0,own,moderate,25,662167,59,repairs,Bad
20,male,2,own,quite rich,5,8800349,32,car,Good
18,male,0,own,little,5,1758800,30,furniture/equipment,Bad
22,male,3,rent,little,20,1907737,37,education,Bad
43,male,1,free,little,16,3851531,57,business,Bad
31,male,1,rent,moderate,19,8019710,23,furniture/equipment,Bad
56,male,1,rent,moderate,9,3131301,51,domestic appliances,Bad
44,female,2,own,little,5,171117,23,repairs,Bad
26,male,1,free,little,8,7781556,42,radio/TV,Bad
32,male,1,own,little,9,354043,31,radio/TV,Bad
32,male,0,free,little,5,4937502,14,domestic appliances,Bad
43,female,1,free,rich,10,3440252,40,furniture/equipment,Bad
59,male,0,rent,little,25,5731213,13,radio/TV,Bad
30,male,2,free,little,2,5024374,25,furniture/equipment,Bad
68,male,1,own,little,9,1945733,59,education,Bad
49,male,1,own,moderate,11,5900629,47,domestic appliances,Bad
56,male,0,own,little,4,8005435,27,business,Bad
66,female,0,own,moderate,22,3083071,24,furniture/equipment,Bad
69,female,2,own,little,22,6652099,35,education,Bad
49,male,0,own,little,22,7421105,58,vacation/others,Bad
21,male,0,free,little,2,573006,33,vacation/others,Bad
47,female,0,own,little,23,3979206,40,furniture/equipment,Bad
54,male,3,rent,little,29,7249148,48,vacation/others,Bad
40,male,2,rent,quite rich,6,8562176,16,furniture/equipment,Good
56,male,0,rent,moderate,27,7356300,36,radio/TV,Bad
62,male,0,free,rich,14,1297442,54,car,Bad
32,male,0,own,little,1,1299529,53,vacation/others,Bad
60,male,2,free,rich,18,1890228,44,repairs,Bad
46,female,1,rent,little,7,5006759,41,furniture/equipment,Bad
53,female,0,own,little,1,1696223,35,furniture/equipment,Bad
30,male,0,own,little,1,9717959,28,furniture/equipment,Bad
49,male,0,rent,little,1,9450466,24,car,Bad
24,female,1,own,moderate,24,6272200,17,education,Bad
68,female,2,own,little,4,6942843,20,vacation/others,Bad
39,male,0,own,little,4,6117004,36,business,Bad
45,female,0,own,moderate,29,3016085,48,business,Bad
19,female,0,own,little,18,418333,42,domestic appliances,Bad
59,male,3,rent,little,27,318547,42,radio/TV,Bad
62,male,0,own,little,11,9040203,20,car,Bad
23,male,2,own,moderate,27,4521740,34,education,Good
45,male,1,own,moderate,1,7464534,55,furniture/equipment,Bad
45,male,0,own,little,28,8453135,48,education,Bad
61,female,0,rent,little,10,6937798,31,car,Bad
61,male,0,own,little,9,3958804,49,car,Bad
37,male,1,own,moderate,23,2425452,7,car,Bad
47,male,2,own,little,4,5312360,25,domestic appliances,Bad
28,male,1,own,little,28,9882096,20,repairs,Bad
45,female,1,rent,little,6,719776,57,radio/TV,Bad
42,male,0,rent,little,16,9075681,9,domestic appliances,Bad
56,male,3,own,little,2,700338,27,domestic appliances,Bad
50,male,2,own,moderate,23,174231,55,vacation/others,Good
18,male,0,own,little,18,6465062,43,repairs,Bad
44,male,3,own,little,10,5646686,28,domestic appliances,Bad
69,male,1,own,moderate,24,3626185,31,car,Bad
30,male,1,own,moderate,24,4245466,56,car,Bad
58,male,2,own,little,17,2693050,16,vacation/others,Bad
20,male,2,own,little,13,3213534,33,education,Bad
56,male,1,rent,little,24,3700957,7,furniture/equipment,Bad
23,female,0,free,quite rich,18,4587701,13,domestic appliances,Bad
25,male,0,own,little,22,9568740,34,furniture/equipment,Bad
44,male,3,rent,quite rich,13,9005808,16,radio/TV,Good
26,male,0,own,moderate,17,5224524,42,business,Bad
54,male,0,own,little,5,4477987,23,car,Bad
50,male,1,rent,little,11,3939973,55,education,Bad
68,male,1,rent,little,7,1463864,19,radio/TV,Bad
59,female,1,free,little,29,5345426,59,vacation/others,Bad
61,male,3,own,little,10,9717611,15,education,Bad
41,male,0,own,moderate,17,5521251,40,business,Bad
32,male,0,rent,rich,15,7328119,14,business,Bad
49,female,0,own,little,18,1442154,40,vacation/others,Bad
49,male,2,own,moderate,23,3100264,16,repairs,Good
41,male,1,own,little,22,9260899,49,vacation/others,Bad
58,male,0,own,little,19,3614674,17,car,Bad
69,male,2,own,little,26,9522487,8,radio/TV,Bad
66,male,2,own,moderate,2,3173961,58,repairs,Good
66,female,2,rent,quite rich,26,6094743,44,business,Bad
69,male,3,own,moderate,4,248178,19,radio/TV,Bad
29,male,0,own,little,3,8546731,33,education,Bad
56,male,2,own,little,7,2308977,16,repairs,Bad
19,male,1,own,little,24,1317309,44,repairs,Bad
20,male,2,own,little,18,3470698,30,car,Bad
66,male,2,own,moderate,10,8444854,26,vacation/others,Bad
54,male,2,rent,moderate,7,7415664,15,furniture/equipment,Good
66,male,1,own,moderate,8,5232928,48,education,Bad
34,male,0,free,little,6,6974399,20,education,Bad
66,male,1,own,little,22,9203611,24,vacation/others,Bad
19,male,3,own,little,26,5960616,53,repairs,Bad
19,male,3,own,little,1,2375598,27,repairs,Bad
45,male,0,own,little,4,4992571,26,car,Bad
40,male,0,rent,moderate,14,4591260,57,furniture/equipment,Bad
54,female,0,own,moderate,17,6527227,49,education,Bad
49,female,2,own,little,20,6895160,37,business,Bad
50,male,2,rent,little,18,9659250,55,domestic appliances,Bad
18,male,0,rent,little,11,8879116,28,domestic appliances,Bad
36,male,1,rent,little,29,6048491,18,furniture/equipment,Bad
19,male,2,own,moderate,21,136160,10,radio/TV,Good
61,male,2,rent,little,26,119156,9,car,Bad
43,male,1,own,little,14,7516240,33,furniture/equipment,Bad
49,male,1,own,little,9,2670348,19,vacation/others,Bad
23,male,1,own,quite rich,27,2662688,13,vacation/others,Bad
49,male,0,own,little,15,7064745,14,domestic appliances,Bad
21,male,1,own,little,12,5574106,56,repairs,Bad
28,male,1,own,little,10,7895807,40,domestic appliances,Bad
34,male,2,rent,moderate,19,5014005,42,repairs,Good
55,male,1,own,rich,24,981809,26,car,Bad
41,male,2,own,little,19,4599311,23,repairs,Bad
22,male,0,own,quite rich,6,9225805,38,furniture/equipment,Bad
69,male,1,rent,quite rich,20,6456895,13,repairs,Bad
51,male,0,own,quite rich,24,3908282,56,radio/TV,Bad
23,male,0,own,moderate,27,745649,54,vacation/others,Bad
39,male,2,rent,moderate,6,8701594,22,furniture/equipment,Bad
28,male,3,rent,little,8,6225488,48,vacation/others,Bad
65,male,0,own,moderate,1,8518385,36,car,Bad
33,female,1,own,little,22,2451508,39,furniture/equipment,Bad
50,female,2,rent,moderate,17,2749089,11,radio/TV,Bad
26,male,0,own,little,17,4714965,27,car,Bad
23,male,1,own,moderate,24,298110,19,domestic appliances,Bad
33,male,2,rent,moderate,15,4179430,8,radio/TV,Good
46,male,1,own,little,7,8903235,17,car,Bad
20,female,0,own,moderate,19,2682761,41,business,Bad
37,male,0,own,little,22,3391066,17,repairs,Bad
53,male,2,own,moderate,25,7864461,50,furniture/equipment,Bad
36,male,1,own,little,23,8219550,7,car,Bad
43,male,0,rent,little,28,8436562,7,furniture/equipment,Bad
20,male,2,own,quite rich,3,4853954,20,repairs,Good
36,male,0,own,little,29,6705188,28,car,Bad
37,male,2,own,moderate,22,9706541,34,domestic appliances,Bad
49,female,0,own,little,11,1259682,22,business,Bad
24,female,3,free,little,20,3150091,37,business,Bad
69,male,0,own,little,29,6594374,12,radio/TV,Bad
58,male,0,own,little,19,7738483,35,car,Bad
50,male,0,own,little,9,8831032,33,repairs,Bad
57,male,0,own,little,10,9950267,19,car,Bad
56,male,2,own,little,2,3040107,49,furniture/equipment,Bad
35,male,3,rent,little,1,2150241,35,education,Bad
57,male,0,free,rich,16,5034349,22,vacation/others,Bad
18,male,1,own,rich,18,1256245,37,car,Bad
28,male,2,own,little,23,5026622,51,business,Bad
45,male,2,rent,moderate,26,258998,11,business,Bad
42,female,1,rent,little,17,6378122,56,vacation/others,Bad
67,male,0,own,moderate,6,3862853,29,business,Bad
40,male,1,own,moderate,14,4150230,11,domestic appliances,Bad
48,female,1,own,quite rich,23,4399078,32,car,Bad
47,male,0,rent,little,25,9764728,23,radio/TV,Bad
59,female,1,rent,moderate,15,5814435,29,car,Bad
52,male,0,own,little,14,5270310,42,education,Bad
24,male,2,own,rich,24,4561918,29,business,Bad
33,male,0,rent,little,22,1908516,43,furniture/equipment,Bad
43,male,1,rent,moderate,3,1056011,39,business,Bad
65,male,1,free,moderate,24,3757905,45,car,Bad
69,male,1,rent,moderate,23,3861509,52,domestic appliances,Bad
66,male,0,own,little,19,9281563,20,repairs,Bad
19,male,1,own,quite rich,25,9755179,16,car,Bad
18,female,1,own,little,12,2947695,27,car,Bad
65,female,1,own,moderate,2,6147344,59,radio/TV,Bad
29,male,1,own,little,3,1817355,29,domestic appliances,Bad
22,male,1,rent,little,18,5148336,6,education,Bad
54,male,2,own,little,29,6948829,23,repairs,Bad
49,male,0,rent,little,1,5000318,49,business,Bad
26,female,2,own,little,20,6955571,17,furniture/equipment,Bad
58,male,1,free,little,21,8070043,48,car,Bad
52,male,0,own,little,29,8621722,33,education,Bad
36,male,0,own,moderate,6,4785942,45,repairs,Bad
65,male,0,own,quite rich,5,6949221,12,furniture/equipment,Bad
33,male,2,own,little,1,9172684,28,education,Bad
20,female,2,rent,little,19,3978212,26,domestic appliances,Bad
37,male,2,rent,little,1,4068178,39,domestic appliances,Bad
41,male,1,own,little,27,239133,16,repairs,Bad
50,male,1,own,moderate,21,3909697,27,business,Bad
41,female,0,own,moderate,21,5416282,47,vacation/others,Bad
69,female,0,own,little,16,6965843,40,furniture/equipment,Bad
28,male,1,rent,little,12,370001,57,domestic appliances,Bad
66,male,0,rent,little,27,4717631,34,vacation/others,Bad
25,male,0,own,moderate,29,1499298,47,repairs,Bad
53,male,1,rent,rich,22,4247413,33,domestic appliances,Bad
55,female,2,own,little,8,4169976,23,domestic appliances,Bad
57,male,3,rent,little,26,882409,19,education,Bad
37,male,3,own,quite rich,16,7976146,23,vacation/others,Good
52,male,1,rent,quite rich,28,813391,33,education,Bad
65,male,1,rent,little,1,5855536,29,domestic appliances,Bad
42,male,1,own,little,4,437164,13,vacation/others,Bad
52,male,2,rent,little,10,7969815,47,radio/TV,Bad
42,male,0,own,little,11,2863779,59,vacation/others,Bad
46,male,1,own,little,17,2958214,50,education,Bad
35,male,2,own,little,25,2334967,58,furniture/equipment,Bad
63,male,0,free,little,27,2120880,13,repairs,Bad
35,male,1,rent,little,23,7019219,9,repairs,Bad
19,male,1,rent,moderate,7,4343780,32,business,Bad
52,male,0,rent,little,12,3993193,41,furniture/equipment,Bad
33,male,0,own,little,21,5781868,10,furniture/equipment,Bad
58,male,0,rent,little,7,1355959,38,furniture/equipment,Bad
53,male,0,own,little,12,2213687,54,business,Bad
50,male,0,own,rich,15,6720090,39,furniture/equipment,Bad
21,female,2,own,little,2,1203598,35,car,Bad
50,male,0,rent,little,14,7105351,13,business,Bad
31,male,1,rent,moderate,13,7670095,44,repairs,Bad
38,male,0,own,little,4,2238421,52,car,Bad
65,male,3,own,quite rich,14,5123198,31,business,Good
37,male,0,rent,little,14,9409239,42,domestic appliances,Bad
25,male,1,own,little,16,8773899,39,domestic appliances,Bad
24,male,2,rent,little,7,1749959,12,repairs,Bad
20,male,2,free,little,19,7159916,45,domestic appliances,Bad
34,male,0,own,moderate,2,2288077,33,furniture/equipment,Bad
50,male,2,own,moderate,10,4884973,44,business,Good
65,male,1,rent,little,18,3869484,44,car,Bad
29,male,1,rent,little,29,1390906,33,furniture/equipment,Bad
68,male,0,own,moderate,17,1535367,19,domestic appliances,Bad
39,male,0,free,quite rich,5,8412048,58,education,Bad
39,male,2,own,little,12,3346849,55,vacation/others,Bad
63,male,1,own,little,6,8754584,43,car,Bad
47,male,1,rent,little,22,1705196,9,furniture/equipment,Bad
55,female,2,rent,quite rich,9,3840941,47,business,Bad
55,male,2,own,little,20,1145851,23,repairs,Bad
62,male,0,rent,little,1,8566602,49,furniture/equipment,Bad
68,male,1,own,moderate,22,2764921,53,education,Bad
25,male,0,own,little,15,1534730,30,domestic appliances,Bad
44,male,2,own,little,21,4171650,12,car,Bad
44,male,1,rent,little,26,4454489,43,repairs,Bad
51,female,3,own,little,6,1441030,33,car,Bad
38,male,0,own,little,19,6602483,10,repairs,Bad
47,female,0,own,little,18,754973,8,vacation/others,Bad
50,male,0,rent,little,6,7801516,49,business,Bad
45,male,0,own,little,13,9384276,36,car,Bad
64,male,0,rent,moderate,1,1418155,52,domestic appliances,Bad
50,female,3,own,moderate,23,759211,47,business,Bad
22,male,0,own,little,23,4549399,25,business,Bad
65,female,0,own,little,26,2871932,24,vacation/others,Bad
36,male,2,rent,little,13,581632,53,repairs,Bad
21,male,1,rent,little,7,9798360,16,radio/TV,Bad
52,female,2,own,little,15,5476132,45,car,Bad
66,male,0,own,moderate,12,6641173,8,car,Bad
34,male,1,own,little,27,8098799,28,furniture/equipment,Bad
61,male,0,own,little,26,5375820,12,repairs,Bad
45,female,0,own,little,1,6312993,28,education,Bad
47,female,3,own,moderate,15,5417508,12,radio/TV,Bad
46,male,0,own,little,4,7596196,51,domestic appliances,Bad
63,male,1,own,moderate,13,5204138,39,furniture/equipment,Bad
23,female,1,own,little,23,6930362,47,vacation/others,Bad
52,male,0,rent,quite rich,27,9899796,24,radio/TV,Bad
58,male,2,own,quite rich,25,126505,14,repairs,Bad
54,female,0,own,little,5,1225262,53,radio/TV,Bad
41,male,1,rent,little,29,312204,56,vacation/others,Bad
46,male,3,own,little,2,7150305,23,business,Bad
66,male,1,own,little,23,9016776,46,car,Bad
63,female,3,own,moderate,26,751250,53,business,Bad
48,female,0,own,moderate,1,467478,50,car,Bad
52,female,1,own,moderate,16,5898099,47,furniture/equipment,Bad
50,male,0,own,moderate,23,1367633,30,vacation/others,Bad
69,female,2,rent,little,6,2649370,57,repairs,Bad
38,female,3,own,little,23,1488327,19,repairs,Bad
49,male,0,own,moderate,16,4738246,49,radio/TV,Bad
40,female,1,own,little,14,5976174,30,furniture/equipment,Bad
50,male,0,own,moderate,29,8477900,24,repairs,Bad
20,male,1,own,little,26,2310186,44,education,Bad
35,male,1,rent,little,3,2631196,20,education,Bad
42,male,3,own,rich,15,3300090,21,business,Good
59,male,1,own,little,3,153997,32,car,Bad
48,male,0,own,rich,23,4475717,45,radio/TV,Bad
20,male,0,own,rich,29,5707423,15,domestic appliances,Bad
57,male,0,free,moderate,2,9289589,9,vacation/others,Bad
63,male,0,own,moderate,1,3040504,56,car,Bad
41,male,0,own,little,9,5034990,24,furniture/equipment,Bad
67,male,2,own,quite rich,9,9950716,33,repairs,Bad
49,male,1,free,little,23,8157907,26,car,Bad
64,male,1,own,little,7,5821877,52,domestic appliances,Bad
39,male,0,own,moderate,3,9059601,19,domestic appliances,Bad
40,female,2,rent,little,26,4169545,38,education,Bad
19,male,2,rent,little,18,7860004,53,furniture/equipment,Bad
44,male,0,own,little,11,9739077,15,car,Bad
59,male,2,own,little,7,6202493,24,radio/TV,Bad
19,female,1,own,quite rich,9,1885414,35,car,Bad
43,male,0,own,little,1,1118543,27,education,Bad
34,female,1,own,quite rich,29,6211599,8,business,Bad
57,male,1,own,moderate,14,6874870,42,domestic appliances,Bad
50,female,0,own,moderate,20,5043168,46,furniture/equipment,Bad
26,male,3,own,little,6,4327234,23,furniture/equipment,Bad
60,female,2,own,moderate,7,855322,16,radio/TV,Bad
65,male,1,free,little,10,9237819,53,furniture/equipment,Bad
56,male,1,own,moderate,7,3358881,7,education,Bad
46,male,1,own,little,26,3731453,17,education,Bad
59,male,1,own,quite rich,2,6624367,59,education,Bad
43,male,1,free,rich,4,5438938,11,furniture/equipment,Bad
52,female,0,own,little,21,1599519,48,furniture/equipment,Bad
67,female,1,own,little,28,3432770,45,education,Bad
42,male,2,own,moderate,17,9026299,49,furniture/equipment,Bad
41,male,1,own,little,1,3587924,34,vacation/others,Bad
30,male,0,own,quite rich,10,872838,35,furniture/equipment,Bad
24,male,2,own,little,19,361420,7,vacation/others,Bad
53,male,0,own,little,15,577843,14,domestic appliances,Bad
62,male,0,free,rich,10,4629943,52,car,Bad
37,male,0,own,moderate,19,4652538,7,repairs,Bad
18,male,0,own,moderate,12,1925260,34,vacation/others,Bad
25,male,2,rent,little,24,4875833,38,vacation/others,Bad
63,male,1,own,moderate,16,4287694,15,furniture/equipment,Bad
33,male,0,own,little,9,9701588,39,repairs,Bad
31,male,2,own,moderate,15,3199834,49,business,Good
29,female,2,own,moderate,27,6821206,13,repairs,Bad
68,male,2,rent,little,28,6871158,42,domestic appliances,Bad
40,male,0,rent,little,17,3664507,59,vacation/others,Bad
32,male,1,own,little,14,4399489,38,furniture/equipment,Bad
45,male,3,own,moderate,27,3282132,52,education,Bad
51,female,2,rent,little,18,2478604,11,repairs,Bad
19,male,0,rent,moderate,26,8086322,49,furniture/equipment,Bad
49,male,0,rent,little,2,6737448,45,radio/TV,Bad
40,male,1,own,moderate,4,7235580,50,business,Bad
39,female,3,own,moderate,18,3431916,24,education,Bad
68,female,1,rent,little,7,4815755,37,radio/TV,Bad
42,male,1,own,little,13,7971490,32,radio/TV,Bad
39,male,0,own,little,15,244375,6,repairs,Bad
39,male,1,own,moderate,25,7773919,48,radio/TV,Bad
66,female,2,own,moderate,23,4069763,57,domestic appliances,Bad
69,male,0,own,little,28,4329491,38,domestic appliances,Bad
59,female,2,own,moderate,22,5712298,45,repairs,Bad
23,male,3,free,little,26,5283584,37,furniture/equipment,Bad
32,male,0,own,little,1,9145861,10,car,Bad
60,male,1,rent,quite rich,11,6011993,22,furniture/equipment,Bad
54,male,0,own,little,10,3283818,13,furniture/equipment,Bad
50,male,2,own,little,25,1618560,47,furniture/equipment,Bad
25,male,1,free,little,5,1994420,39,furniture/equipment,Bad
61,male,1,own,little,16,7169222,14,education,Bad
61,male,2,own,little,11,7758206,28,car,Bad
22,male,0,own,little,21,641797,40,education,Bad
56,male,3,own,moderate,6,9180897,55,radio/TV,Good
21,female,1,rent,little,9,5884078,12,business,Bad
23,female,0,rent,little,13,4660349,20,furniture/equipment,Bad
62,female,1,own,little,24,3875568,58,business,Bad
49,female,2,own,little,8,5417563,59,domestic appliances,Bad
69,male,0,own,moderate,14,1896218,25,repairs,Bad
47,male,2,rent,rich,24,652226,55,repairs,Good
64,male,3,own,little,1,7614782,30,education,Bad
52,male,0,own,quite rich,17,5198907,8,education,Bad
57,male,3,own,little,24,8749318,51,domestic appliances,Bad
69,female,0,own,little,5,6838652,29,furniture/equipment,Bad
33,male,0,own,little,25,7239608,39,business,Bad
30,male,0,rent,little,2,7807690,51,vacation/others,Bad
67,male,2,own,little,25,7103621,27,business,Bad
59,male,1,own,moderate,28,3903074,16,car,Bad
47,male,0,rent,little,24,7516510,53,radio/TV,Bad
36,male,1,rent,quite rich,9,9426801,13,repairs,Bad
34,female,1,own,little,4,5296993,44,radio/TV,Bad
36,male,0,own,little,17,9894027,48,car,Bad
45,male,2,own,moderate,17,3607145,40,education,Good
43,female,2,own,little,21,1314770,54,business,Bad
54,female,1,own,little,18,3417635,51,repairs,Bad
43,female,3,own,moderate,16,896601,43,radio/TV,Bad
40,female,1,own,quite rich,8,4783249,13,vacation/others,Bad
26,male,3,rent,moderate,26,2080425,59,education,Good
29,male,1,own,moderate,11,7541521,42,car,Bad
18,male,1,own,moderate,21,8177813,32,vacation/others,Bad
18,male,0,own,quite rich,21,7794420,33,radio/TV,Bad
64,male,2,free,little,18,9950350,45,vacation/others,Bad
51,male,1,rent,little,23,3041616,39,business,Bad
49,male,0,rent,little,29,2574370,37,furniture/equipment,Bad
65,male,0,rent,little,24,5704297,20,vacation/others,Bad
42,male,1,rent,moderate,10,7205924,49,education,Bad
57,male,1,own,moderate,13,2178937,22,car,Bad
62,male,2,own,little,17,9015948,38,radio/TV,Bad
18,male,2,own,little,18,1455097,52,business,Bad
33,female,0,rent,moderate,10,1508777,51,furniture/equipment,Bad
56,male,2,rent,little,16,9736094,57,furniture/equipment,Bad
22,male,0,own,moderate,20,1179037,59,car,Bad
